CHAMADO;ID_JIRA;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1513;2495018;SC;Atalant - SC;Ministério Público;Consignet;Ativo;24/04/2025;24/04/1930
CON-1512;2495012;RS;Quinze de Novembro - RS;Prefeitura Municipal;Consignet;Ativo;15/05/2025;15/05/1930
CON-1511;2494917;RS;Amaral Ferrador - RS;Prefeitura Municipal;Consignet;Ativo;09/05/2025;09/05/1930
CON-1510;2494914;RS;Câmara dos Vereadores de Tramandaí ;Câmara Municipal;Consignet;Ativo;02/06/2025;02/06/1930
CON-1509;2494856;PB;Caaporã - PB;Prefeitura Municipal;Infoconsig;Ativo;11/04/2025;11/04/2026
CON-1508;2493724;RN;Tibau do Sul - RN;Prefeitura Municipal;SP Consig;Ativo;25/04/2025;25/04/1930
CON-1507;2493708;PR;SAMAE - Jaguariaíva - PR;Autarquia;Consignet;Ativo;25/06/2025;25/06/1930
CON-1506;2493689;PI;Avelino Lopes - PI;Prefeitura Municipal;Consignet;Ativo;09/04/2025;31/12/2025
CON-1505;2493675;PE;Goiana - PE;Prefeitura Municipal;Consignet;Ativo;24/03/2025;24/03/1930
CON-1504;2493671;MG;Instituto Previdência Montes Claros - PREVMOC - MG;Instituto de Previdência;Quantum;Ativo;03/06/2025;06/06/1930
CON-1503;2489536;MG;Rio Paranaíba - MG;Prefeitura Municipal;Consignet;Ativo;29/05/2025;29/05/1930
CON-1502;2487541;GO;Porangatu - GO;Prefeitura Municipal;VilleFort;Ativo;02/06/2025;02/06/2026
CON-1501;2485080;SP;Instituto de Previdência Servidores - Olimpia/SP ;Instituto de Previdência;Consignet;Ativo;19/05/2025;19/05/1930
CON-1500;2484646;AL;Santa Luizia do Norte - AL;Câmara Municipal;NewVersion;Ativo;21/01/2025;21/01/1930
CON-1499;2477690;MT;ALTA FLORESTA - MT;Câmara Municipal;Digital Consig;Ativo;20/05/2025;20/05/1930
CON-1498;2476624;MT;JUSCIMEIRA;Prefeitura Municipal;Digital Consig;Ativo;15/05/2025;15/05/1935
CON-1497;2475509;SP;IPRC - INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE RIO CLARO/SP;Instituto de Previdência;Consignet;Ativo;08/04/2025;08/04/1930
CON-1496;2475493;RS;PEDRAS ALTAS/RS;Prefeitura Municipal;Consignet;Ativo;30/04/2025;30/04/1930
CON-1495;2474913;RS;CAPÃO BONITO DO SUL;Prefeitura Municipal;Consignet;Ativo;16/05/2025;19/05/2026
CON-1494;2474615;RN;GOIANINHA - RN;Prefeitura Municipal;Fácil;Ativo;13/05/2025;15/05/1930
CON-1493;2474544;MA; PREFEITURA MUNICIPAL DE LAGO VERDE/MA;Prefeitura Municipal;Fácil;Ativo;02/05/2025;02/05/1930
CON-1492;2474435;SC;INSTITUTO DE PREVIDÊNCIA DO MUNICIPIO DE MAFRA IPMM - SC;Instituto de Previdência;Safe Consig;Ativo;13/05/2025;13/05/1930
CON-1491;2474362;PI; JULIO BORGES/PI;Prefeitura Municipal;Consignet;Ativo;10/04/2025;10/04/1930
CON-1490;2469994;PI; BOM PRINCÍPIO DO PIAUI/PI;Prefeitura Municipal;Consignet;Ativo;29/04/2025;29/04/1930
CON-1489;2469975;PE;FUNDO PREVIDENCIARIO DO MUNICIPIO DE SANTA FILOMENA/PE;Instituto de Previdência;Consignet;Ativo;11/04/2025;11/04/1930
CON-1488;2469247;MT;FIGUEIRÓPOLIS D'OESTE - MT;Prefeitura Municipal;Digital Consig;Ativo;16/04/2025;16/04/1930
CON-1487;2467865;DF;BRB CREDITO FINANCIAMENTO E INVESTIMENTO S A;Instituição Financeira;Quantum;Ativo;17/04/2025;17/04/2026
CON-1486;2466689;MT;RIBEIRÃOZINHO - MT;Prefeitura Municipal;Digital Consig;Ativo;11/02/2025;09/02/1935
CON-1485;2466683;MT;: MUNICÍPIO DE GUIRATINGA - MT;Prefeitura Municipal;Digital Consig;Ativo;25/04/2025;24/04/1935
CON-1484;2466676;GO; MUNICÍPIO DE CALDAZINHA - GO;Prefeitura Municipal;Digital Consig;Ativo;24/04/2025;24/04/1930
CON-1483;2466570;MT; Câmara Municipal de Sinop - MT;Câmara Municipal;Digital Consig;Ativo;06/05/2025;06/05/1930
CON-1482;2465907;MS;Naviraí - MS;Prefeitura Municipal;Fasitec;Ativo;28/01/2025;28/01/1930
CON-1481;2465898;MS;Camapuã - MS;Prefeitura Municipal;Consignet;Ativo;30/01/2025;30/01/1930
CON-1480;2465886;RJ;Nova Iguaçu (PREVINI) - RJ;Instituto de Previdência;Gestão Consig;Ativo;06/05/2025;06/05/1930
CON-1479;2464871;PE;Jataúba - PE;Prefeitura Municipal;Consignet;Ativo;24/03/2025;24/03/1930
CON-1478;2464842;BA;Teixeira de Freitas - BA;Prefeitura Municipal;ConsigLog;Ativo;07/05/2025;07/05/1930
CON-1477;2461537;RS;FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO DE ALEGRIA - FPSM;Instituto de Previdência;ASBAN;Ativo;23/04/2025;23/04/1930
CON-1476;2461461;RN;MUNICIPIO DE SERRA NEGRA DO NORTE/RN;Prefeitura Municipal;Consignet;Inativo;10/04/2025;10/04/1930
CON-1475;2461455;RS;SÃO JOSÉ DE MIPIBU - RN;Prefeitura Municipal;SP Consig;Ativo;25/04/2025;25/04/1930
CON-1474;2461423;PE;ALTINHO/PE;Prefeitura Municipal;Consignet;Ativo;15/02/2025;15/02/1930
CON-1473;2460841;MT; CÂMARA MUNICIPAL DE ALTO ARAGUAIA - MT;Câmara Municipal;Digital Consig;Ativo;28/03/2025;28/03/1930
CON-1472;2460836;RS;FUNDO DE APOSENTADORIA E PENSAO DO MUNICIPIO DE ALEGRETE - ALEGRETE;Instituto de Previdência;Consignet;Ativo;29/04/2025;29/04/1930
CON-1471;2460827;PI;SÃO GONÇALO DO GURGUEIA/PI;Prefeitura Municipal;Consignet;Ativo;11/04/2025;11/04/1930
CON-1470;2460816;PE;MUNICIPIO DE CARNAUBEIRA DA PENHA/PE;Prefeitura Municipal;Consignet;Ativo;17/01/2025;16/01/1930
CON-1469;2455278;CE;MUNICIPIO DE GUARACIABA DO NORTE/CE;Prefeitura Municipal;Safe Consig;Ativo;03/04/2025;03/04/1930
CON-1468;2454816;PR;IPPLAM - INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE MARINGÁ;Autarquia;Consignet;Ativo;22/04/2025;21/04/2026
CON-1467;2454793;MS;CAMARA MUNICIPAL DE VEREADORES DE JARDIM/MS;Câmara Municipal;Consignet;Ativo;24/04/2025;24/04/1930
CON-1466;2454083;MG;Pitangui - MG;Prefeitura Municipal;Consignet;Ativo;02/04/2025;02/04/1930
CON-1465;2453352;SP;Tupã/SP;Câmara Municipal;Consignet;Ativo;01/04/2025;01/04/1930
CON-1464;2452290;MT;Câmara de Santa Rita do Trivelato - MT;Câmara Municipal;Digital Consig;Ativo;22/04/2025;22/04/1930
CON-1463;2452114;RS;Osório - RS;Prefeitura Municipal;Consignet;Ativo;23/04/2025;23/04/1930
CON-1462;2452107;RS;Morro Redondo - RS ;Prefeitura Municipal;Consignet;Inativo;01/04/2025;01/04/1930
CON-1461;2451904;PR;INSTITUTO AMBIENTAL DE MARINGÁ . IAM;Autarquia;Consignet;Ativo;22/04/2025;22/04/2026
CON-1460;2451903;PR;AGÊNCIA MARINGAENSE DE REGULAÇÃO - AMR;Autarquia;Consignet;Ativo;22/04/2025;22/04/2026
CON-1459;2451902;PR;Maringá - PR;Prefeitura Municipal;Consignet;Ativo;22/04/2025;22/04/2026
CON-1458;2450668;SP;Olímpia - SP;Prefeitura Municipal;Consignet;Ativo;24/04/2025;24/04/1930
CON-1457;2449459;RS;CAMARA MUNICIPAL DOS VEREADORES DE SÃO NICOLAU/RS;Câmara Municipal;Consignet;Ativo;16/04/2025;16/04/1930
CON-1456;2449449;RS;CORONEL BARROS - RS;Prefeitura Municipal;ASBAN;Ativo;15/04/2025;14/04/1930
CON-1455;2449442;PE;JOÃO ALFREDO - PE ;Prefeitura Municipal;NewVersion;Ativo;15/04/2025;15/01/1930
CON-1454;2449364;PB;Instituto de Previdência dos Servidores Municipais  de Soledade -  IPSOL ;Instituto de Previdência;SP Consig;Ativo;08/01/2025;08/01/2029
CON-1453;2449304;PE;ARCOVERDE - PE;Prefeitura Municipal;NewVersion;Ativo;03/04/2025;03/04/1930
CON-1452;2448887;DF;BANCO DE BRASÍLIA S/A;Instituição Financeira;NeoConsig;Ativo;28/03/2025;28/03/2028
CON-1451;2448881;RS;São João do Polêsine - RS;Prefeitura Municipal;Consignet;Ativo;26/03/2025;26/03/1930
CON-1450;2448176;RN;Japi;Prefeitura Municipal;SP Consig;Ativo;11/12/2024;11/12/2029
CON-1449;2446265;RS;MARIANA PIMENTEL - RS;Prefeitura Municipal;ASBAN;Ativo;09/04/2025;09/04/1930
CON-1448;2446254;RO;RIO CRESPO;Câmara Municipal;Consignet;Ativo;08/04/2025;09/04/1930
CON-1447;2444207;SP;Itapetininga - SP;Prefeitura Municipal;Consignet;Ativo;31/03/2025;31/03/2026
CON-1446;2441471;PI;Corrente - PI;Prefeitura Municipal;Consignet;Ativo;03/04/2025;03/04/1930
CON-1445;2441466;AM;Câmara Municipal Ipixuna - AM;Câmara Municipal;Digital Consig;Ativo;26/03/2025;26/03/1930
CON-1444;2441465;AL;Água Boa - AL;Prefeitura Municipal;Fasitec;Ativo;09/04/2025;09/04/1930
CON-1443;2441004;RS;Derrubadas - RS;Prefeitura Municipal;Consignet;Ativo;04/04/2025;04/04/1930
CON-1442;2440997;RS;INSTITUTO DE PREVIDENCIA DOS SERVIDORES  PUBLICOS DO MUNICIPIO DE NOVA HARTZ - RS;Instituto de Previdência;Consignet;Ativo;09/04/2025;09/04/1930
CON-1441;2440989;RS;Santa do Livramento - RS;Prefeitura Municipal;Consignet;Ativo;09/04/2025;09/04/1930
CON-1440;2440827;PR;Sertanópolis - PR;Prefeitura Municipal;Consignet;Ativo;19/03/2025;19/03/1930
CON-1439;2439282;MT;Comodoro Previ - MT;Instituto de Previdência;Digital Consig;Ativo;04/04/2025;04/04/1930
CON-1438;2438490;CE;Madalena - CE;Prefeitura Municipal;Digital Consig;Ativo;12/03/2025;12/03/1930
