CHAMADO;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1513;SC;Atalant;Ministério Público;Consignet;Ativo;2025-04-24;1930-04-24
CON-1512;RS;Quinze De Novembro;Prefeitura Municipal;Consignet;Ativo;2025-05-15;1930-05-15
CON-1511;RS;Amaral Ferrador;Prefeitura Municipal;Consignet;Ativo;2025-05-09;1930-05-09
CON-1510;RS;Tramandaí;Câmara Municipal;Consignet;Ativo;2025-06-02;1930-06-02
CON-1509;PB;Caaporã;Prefeitura Municipal;Infoconsig;Ativo;2025-04-11;2026-04-11
CON-1508;RN;Tibau Do Sul;Prefeitura Municipal;SP Consig;Ativo;2025-04-25;1930-04-25
CON-1507;PR;Jaguariaíva;Autarquia;Consignet;Ativo;2025-06-25;1930-06-25
CON-1506;PI;Avelino Lopes;Prefeitura Municipal;Consignet;Ativo;2025-04-09;2025-12-31
CON-1505;PE;Goiana;Prefeitura Municipal;Consignet;Ativo;2025-03-24;1930-03-24
CON-1504;MG;Montes Claros;Instituto de Previdência;Quantum;Ativo;2025-06-03;1930-06-06
CON-1503;MG;Rio Paranaíba;Prefeitura Municipal;Consignet;Ativo;2025-05-29;1930-05-29
CON-1502;GO;Porangatu;Prefeitura Municipal;VilleFort;Ativo;2025-06-02;2026-06-02
CON-1501;SP;Servidores;Instituto de Previdência;Consignet;Ativo;2025-05-19;1930-05-19
CON-1500;AL;Santa Luizia Do Norte;Câmara Municipal;NewVersion;Ativo;2025-01-21;1930-01-21
CON-1499;MT;Alta Floresta;Câmara Municipal;Digital Consig;Ativo;2025-05-20;1930-05-20
CON-1498;MT;Juscimeira;Prefeitura Municipal;Digital Consig;Ativo;2025-05-15;1935-05-15
CON-1497;SP;Rio Claro;Instituto de Previdência;Consignet;Ativo;2025-04-08;1930-04-08
CON-1496;RS;Pedras Altas;Prefeitura Municipal;Consignet;Ativo;2025-04-30;1930-04-30
CON-1495;RS;Capão Bonito Do Sul;Prefeitura Municipal;Consignet;Ativo;2025-05-16;2026-05-19
CON-1494;RN;Goianinha;Prefeitura Municipal;Fácil;Ativo;2025-05-13;1930-05-15
CON-1493;MA;Lago Verde;Prefeitura Municipal;Fácil;Ativo;2025-05-02;1930-05-02
CON-1492;SC;Mafra Ipmm;Instituto de Previdência;Safe Consig;Ativo;2025-05-13;1930-05-13
CON-1491;PI;Julio Borges;Prefeitura Municipal;Consignet;Ativo;2025-04-10;1930-04-10
CON-1490;PI;Bom Princípio Do Piaui;Prefeitura Municipal;Consignet;Ativo;2025-04-29;1930-04-29
CON-1489;PE;Santa Filomena;Instituto de Previdência;Consignet;Ativo;2025-04-11;1930-04-11
CON-1488;MT;Figueirópolis D'Oeste;Prefeitura Municipal;Digital Consig;Ativo;2025-04-16;1930-04-16
CON-1487;DF;Brb Credito Financiamento;Instituição Financeira;Quantum;Ativo;2025-04-17;2026-04-17
CON-1486;MT;Ribeirãozinho;Prefeitura Municipal;Digital Consig;Ativo;2025-02-11;1935-02-09
CON-1485;MT;Guiratinga;Prefeitura Municipal;Digital Consig;Ativo;2025-04-25;1935-04-24
CON-1484;GO;Caldazinha;Prefeitura Municipal;Digital Consig;Ativo;2025-04-24;1930-04-24
CON-1483;MT;Sinop;Câmara Municipal;Digital Consig;Ativo;2025-05-06;1930-05-06
CON-1482;MS;Naviraí;Prefeitura Municipal;Fasitec;Ativo;2025-01-28;1930-01-28
CON-1481;MS;Camapuã;Prefeitura Municipal;Consignet;Ativo;2025-01-30;1930-01-30
CON-1480;RJ;Nova Iguaçu;Instituto de Previdência;Gestão Consig;Ativo;2025-05-06;1930-05-06
CON-1479;PE;Jataúba;Prefeitura Municipal;Consignet;Ativo;2025-03-24;1930-03-24
CON-1478;BA;Teixeira De Freitas;Prefeitura Municipal;ConsigLog;Ativo;2025-05-07;1930-05-07
CON-1477;RS;Alegria;Instituto de Previdência;ASBAN;Ativo;2025-04-23;1930-04-23
CON-1476;RN;Serra Negra Do Norte;Prefeitura Municipal;Consignet;Inativo;2025-04-10;1930-04-10
CON-1475;RS;São José De Mipibu;Prefeitura Municipal;SP Consig;Ativo;2025-04-25;1930-04-25
CON-1474;PE;Altinho;Prefeitura Municipal;Consignet;Ativo;2025-02-15;1930-02-15
CON-1473;MT;Alto Araguaia;Câmara Municipal;Digital Consig;Ativo;2025-03-28;1930-03-28
CON-1472;RS;Alegrete;Instituto de Previdência;Consignet;Ativo;2025-04-29;1930-04-29
CON-1471;PI;São Gonçalo Do Gurgueia;Prefeitura Municipal;Consignet;Ativo;2025-04-11;1930-04-11
CON-1470;PE;Carnaubeira Da Penha;Prefeitura Municipal;Consignet;Ativo;2025-01-17;1930-01-16
CON-1469;CE;Guaraciaba Do Norte;Prefeitura Municipal;Safe Consig;Ativo;2025-04-03;1930-04-03
CON-1468;PR;Ipplam - Instituto De Pesquisa;Autarquia;Consignet;Ativo;2025-04-22;2026-04-21
CON-1467;MS;Jardim;Câmara Municipal;Consignet;Ativo;2025-04-24;1930-04-24
CON-1466;MG;Pitangui;Prefeitura Municipal;Consignet;Ativo;2025-04-02;1930-04-02
CON-1465;SP;Tupã;Câmara Municipal;Consignet;Ativo;2025-04-01;1930-04-01
CON-1464;MT;Santa Rita Do Trivelato;Câmara Municipal;Digital Consig;Ativo;2025-04-22;1930-04-22
CON-1463;RS;Osório;Prefeitura Municipal;Consignet;Ativo;2025-04-23;1930-04-23
CON-1462;RS;Morro Redondo;Prefeitura Municipal;Consignet;Inativo;2025-04-01;1930-04-01
CON-1461;PR;Maringá . Iam;Autarquia;Consignet;Ativo;2025-04-22;2026-04-22
CON-1460;PR;Agência Maringaense De Regulação;Autarquia;Consignet;Ativo;2025-04-22;2026-04-22
CON-1459;PR;Maringá;Prefeitura Municipal;Consignet;Ativo;2025-04-22;2026-04-22
CON-1458;SP;Olímpia;Prefeitura Municipal;Consignet;Ativo;2025-04-24;1930-04-24
CON-1457;RS;São Nicolau;Câmara Municipal;Consignet;Ativo;2025-04-16;1930-04-16
CON-1456;RS;Coronel Barros;Prefeitura Municipal;ASBAN;Ativo;2025-04-15;1930-04-14
CON-1455;PE;João Alfredo;Prefeitura Municipal;NewVersion;Ativo;2025-04-15;1930-01-15
CON-1454;PB;Soledade;Instituto de Previdência;SP Consig;Ativo;2025-01-08;2029-01-08
CON-1453;PE;Arcoverde;Prefeitura Municipal;NewVersion;Ativo;2025-04-03;1930-04-03
CON-1452;DF;Banco De Brasília S/A;Instituição Financeira;NeoConsig;Ativo;2025-03-28;2028-03-28
CON-1451;RS;São João Do Polêsine;Prefeitura Municipal;Consignet;Ativo;2025-03-26;1930-03-26
CON-1450;RN;Japi;Prefeitura Municipal;SP Consig;Ativo;2024-12-11;2029-12-11
CON-1449;RS;Mariana Pimentel;Prefeitura Municipal;ASBAN;Ativo;2025-04-09;1930-04-09
CON-1448;RO;Rio Crespo;Câmara Municipal;Consignet;Ativo;2025-04-08;1930-04-09
CON-1447;SP;Itapetininga;Prefeitura Municipal;Consignet;Ativo;2025-03-31;2026-03-31
CON-1446;PI;Corrente;Prefeitura Municipal;Consignet;Ativo;2025-04-03;1930-04-03
CON-1445;AM;Câmara Municipal Ipixuna;Câmara Municipal;Digital Consig;Ativo;2025-03-26;1930-03-26
CON-1444;AL;Água Boa;Prefeitura Municipal;Fasitec;Ativo;2025-04-09;1930-04-09
CON-1443;RS;Derrubadas;Prefeitura Municipal;Consignet;Ativo;2025-04-04;1930-04-04
CON-1442;RS;Nova Hartz;Instituto de Previdência;Consignet;Ativo;2025-04-09;1930-04-09
CON-1441;RS;Santa Do Livramento;Prefeitura Municipal;Consignet;Ativo;2025-04-09;1930-04-09
CON-1440;PR;Sertanópolis;Prefeitura Municipal;Consignet;Ativo;2025-03-19;1930-03-19
CON-1439;MT;Comodoro;Instituto de Previdência;Digital Consig;Ativo;2025-04-04;1930-04-04
CON-1438;CE;Madalena;Prefeitura Municipal;Digital Consig;Ativo;2025-03-12;1930-03-12
CON-1437;PA;Marituba;Prefeitura Municipal;NeoConsig;Ativo;2025-03-25;2026-03-25
CON-1436;MT;Santa Rita Do Trivelato;Prefeitura Municipal;Digital Consig;Ativo;2025-03-18;1935-03-18
CON-1435;SP;Itapetininga;Prefeitura Municipal;Consignet;Ativo;2025-03-25;1930-03-25
