CHAMADO;UF;MUNICIPIO;TIPO_ETABELECIMENTO;CONCORRENTE;STATUS;DATA_INI;DATA_FIM
CON-1513;SC;Atalant;Ministério Público;Consignet;Ativo;2025-04-24;1930-04-24
CON-1512;RS;Quinze de Novembro;Prefeitura Municipal;Consignet;Ativo;2025-05-15;1930-05-15
CON-1511;RS;Amaral Ferrador;Prefeitura Municipal;Consignet;Ativo;2025-05-09;1930-05-09
CON-1510;RS;Câmara dos Vereadores de Tramandaí;Câmara Municipal;Consignet;Ativo;2025-06-02;1930-06-02
CON-1509;PB;Caaporã;Prefeitura Municipal;Infoconsig;Ativo;2025-04-11;2026-04-11
CON-1508;RN;Tibau do Sul;Prefeitura Municipal;SP Consig;Ativo;2025-04-25;1930-04-25
CON-1507;PR;SAMAE - Jaguariaíva;Autarquia;Consignet;Ativo;2025-06-25;1930-06-25
CON-1506;PI;Avelino Lopes;Prefeitura Municipal;Consignet;Ativo;2025-04-09;2025-12-31
CON-1505;PE;Goiana;Prefeitura Municipal;Consignet;Ativo;2025-03-24;1930-03-24
CON-1504;MG;Instituto Previdência Montes Claros - PREVMOC;Instituto de Previdência;Quantum;Ativo;2025-06-03;1930-06-06
CON-1503;MG;Rio Paranaíba;Prefeitura Municipal;Consignet;Ativo;2025-05-29;1930-05-29
CON-1502;GO;Porangatu;Prefeitura Municipal;VilleFort;Ativo;2025-06-02;2026-06-02
CON-1501;SP;Instituto de Previdência Servidores - Olimpia;Instituto de Previdência;Consignet;Ativo;2025-05-19;1930-05-19
CON-1500;AL;Santa Luizia do Norte;Câmara Municipal;NewVersion;Ativo;2025-01-21;1930-01-21
CON-1499;MT;ALTA FLORESTA;Câmara Municipal;Digital Consig;Ativo;2025-05-20;1930-05-20
CON-1498;MT;JUSCIMEIRA;Prefeitura Municipal;Digital Consig;Ativo;2025-05-15;1935-05-15
CON-1497;SP;IPRC - INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE RIO CLARO;Instituto de Previdência;Consignet;Ativo;2025-04-08;1930-04-08
CON-1496;RS;PEDRAS ALTAS;Prefeitura Municipal;Consignet;Ativo;2025-04-30;1930-04-30
CON-1495;RS;CAPÃO BONITO DO SUL;Prefeitura Municipal;Consignet;Ativo;2025-05-16;2026-05-19
CON-1494;RN;GOIANINHA;Prefeitura Municipal;Fácil;Ativo;2025-05-13;1930-05-15
CON-1493;MA;PREFEITURA MUNICIPAL DE LAGO VERDE;Prefeitura Municipal;Fácil;Ativo;2025-05-02;1930-05-02
CON-1492;SC;INSTITUTO DE PREVIDÊNCIA DO MUNICIPIO DE MAFRA IPMM;Instituto de Previdência;Safe Consig;Ativo;2025-05-13;1930-05-13
CON-1491;PI;JULIO BORGES;Prefeitura Municipal;Consignet;Ativo;2025-04-10;1930-04-10
CON-1490;PI;BOM PRINCÍPIO DO PIAUI;Prefeitura Municipal;Consignet;Ativo;2025-04-29;1930-04-29
CON-1489;PE;FUNDO PREVIDENCIARIO DO MUNICIPIO DE SANTA FILOMENA;Instituto de Previdência;Consignet;Ativo;2025-04-11;1930-04-11
CON-1488;MT;FIGUEIRÓPOLIS D'OESTE;Prefeitura Municipal;Digital Consig;Ativo;2025-04-16;1930-04-16
CON-1487;DF;BRB CREDITO FINANCIAMENTO E INVESTIMENTO S A;Instituição Financeira;Quantum;Ativo;2025-04-17;2026-04-17
CON-1486;MT;RIBEIRÃOZINHO;Prefeitura Municipal;Digital Consig;Ativo;2025-02-11;1935-02-09
CON-1485;MT;GUIRATINGA;Prefeitura Municipal;Digital Consig;Ativo;2025-04-25;1935-04-24
CON-1484;GO;CALDAZINHA;Prefeitura Municipal;Digital Consig;Ativo;2025-04-24;1930-04-24
CON-1483;MT;Câmara Municipal de Sinop;Câmara Municipal;Digital Consig;Ativo;2025-05-06;1930-05-06
CON-1482;MS;Naviraí;Prefeitura Municipal;Fasitec;Ativo;2025-01-28;1930-01-28
CON-1481;MS;Camapuã;Prefeitura Municipal;Consignet;Ativo;2025-01-30;1930-01-30
CON-1480;RJ;Nova Iguaçu (PREVINI);Instituto de Previdência;Gestão Consig;Ativo;2025-05-06;1930-05-06
CON-1479;PE;Jataúba;Prefeitura Municipal;Consignet;Ativo;2025-03-24;1930-03-24
CON-1478;BA;Teixeira de Freitas;Prefeitura Municipal;ConsigLog;Ativo;2025-05-07;1930-05-07
CON-1477;RS;FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO DE ALEGRIA - FPSM;Instituto de Previdência;ASBAN;Ativo;2025-04-23;1930-04-23
CON-1476;RN;MUNICIPIO DE SERRA NEGRA DO NORTE;Prefeitura Municipal;Consignet;Inativo;2025-04-10;1930-04-10
CON-1475;RS;SÃO JOSÉ DE MIPIBU;Prefeitura Municipal;SP Consig;Ativo;2025-04-25;1930-04-25
CON-1474;PE;ALTINHO;Prefeitura Municipal;Consignet;Ativo;2025-02-15;1930-02-15
CON-1473;MT;CÂMARA MUNICIPAL DE ALTO ARAGUAIA;Câmara Municipal;Digital Consig;Ativo;2025-03-28;1930-03-28
CON-1472;RS;FUNDO DE APOSENTADORIA E PENSAO DO MUNICIPIO DE ALEGRETE - ALEGRETE;Instituto de Previdência;Consignet;Ativo;2025-04-29;1930-04-29
CON-1471;PI;SÃO GONÇALO DO GURGUEIA;Prefeitura Municipal;Consignet;Ativo;2025-04-11;1930-04-11
CON-1470;PE;MUNICIPIO DE CARNAUBEIRA DA PENHA;Prefeitura Municipal;Consignet;Ativo;2025-01-17;1930-01-16
CON-1469;CE;MUNICIPIO DE GUARACIABA DO NORTE;Prefeitura Municipal;Safe Consig;Ativo;2025-04-03;1930-04-03
CON-1468;PR;IPPLAM - INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE MARINGÁ;Autarquia;Consignet;Ativo;2025-04-22;2026-04-21
CON-1467;MS;CAMARA MUNICIPAL DE VEREADORES DE JARDIM;Câmara Municipal;Consignet;Ativo;2025-04-24;1930-04-24
CON-1466;MG;Pitangui;Prefeitura Municipal;Consignet;Ativo;2025-04-02;1930-04-02
CON-1465;SP;Tupã;Câmara Municipal;Consignet;Ativo;2025-04-01;1930-04-01
CON-1464;MT;Câmara de Santa Rita do Trivelato;Câmara Municipal;Digital Consig;Ativo;2025-04-22;1930-04-22
CON-1463;RS;Osório;Prefeitura Municipal;Consignet;Ativo;2025-04-23;1930-04-23
CON-1462;RS;Morro Redondo;Prefeitura Municipal;Consignet;Inativo;2025-04-01;1930-04-01
CON-1461;PR;INSTITUTO AMBIENTAL DE MARINGÁ . IAM;Autarquia;Consignet;Ativo;2025-04-22;2026-04-22
CON-1460;PR;AGÊNCIA MARINGAENSE DE REGULAÇÃO - AMR;Autarquia;Consignet;Ativo;2025-04-22;2026-04-22
CON-1459;PR;Maringá;Prefeitura Municipal;Consignet;Ativo;2025-04-22;2026-04-22
CON-1458;SP;Olímpia;Prefeitura Municipal;Consignet;Ativo;2025-04-24;1930-04-24
CON-1457;RS;CAMARA MUNICIPAL DOS VEREADORES DE SÃO NICOLAU;Câmara Municipal;Consignet;Ativo;2025-04-16;1930-04-16
CON-1456;RS;CORONEL BARROS;Prefeitura Municipal;ASBAN;Ativo;2025-04-15;1930-04-14
CON-1455;PE;JOÃO ALFREDO;Prefeitura Municipal;NewVersion;Ativo;2025-04-15;1930-01-15
CON-1454;PB;Instituto de Previdência dos Servidores Municipais  de Soledade -  IPSOL;Instituto de Previdência;SP Consig;Ativo;2025-01-08;2029-01-08
CON-1453;PE;ARCOVERDE;Prefeitura Municipal;NewVersion;Ativo;2025-04-03;1930-04-03
CON-1452;DF;BANCO DE BRASÍLIA S/A;Instituição Financeira;NeoConsig;Ativo;2025-03-28;2028-03-28
CON-1451;RS;São João do Polêsine;Prefeitura Municipal;Consignet;Ativo;2025-03-26;1930-03-26
CON-1450;RN;Japi;Prefeitura Municipal;SP Consig;Ativo;2024-12-11;2029-12-11
CON-1449;RS;MARIANA PIMENTEL;Prefeitura Municipal;ASBAN;Ativo;2025-04-09;1930-04-09
CON-1448;RO;RIO CRESPO;Câmara Municipal;Consignet;Ativo;2025-04-08;1930-04-09
CON-1447;SP;Itapetininga;Prefeitura Municipal;Consignet;Ativo;2025-03-31;2026-03-31
CON-1446;PI;Corrente;Prefeitura Municipal;Consignet;Ativo;2025-04-03;1930-04-03
